# UT99 Map Dependencies - Extracted Mi 28. Jan 14:37:34 CET 2026
# Format: MapName|Package1,Package2,Package3,...

AS-Colossus.unr|Abstrax,Activates,AmbModern,AmbOutside,Ancient,ArenaTex,Botpack,city,Colossus,Coret_FX,DDay,DDayFX,DoorsAnc,DoorsMod,Egypt,EgyptPan,Engine,FractalFX,GenEarth,genfluid,genfx,GenIn,GreatFire,HubEffects,Indus3,Metalmys,Mine,NaliCast,NaliFX,noxxsnd,Old_FX,PlayrShp,RainFX,RoketTX,Skaarj,Slums,Starship,Tank_FX,UnrealShare,UT,UTtech1,UTtech2,UTtech3
AS-Frigate.unr|AmbModern,AmbOutside,Botpack,Core,DoorsMod,Engine,GenEarth,genfluid,GenFX,GenIn,ISVFX,Mine,Mission,NaliCast,NaliFX,RainFX,Starship,UnrealI,UnrealShare
AS-GrandCanyon.unr|Activates,AmbAncient,AmbModern,AmbOutside,Ancient,BossVoice,Botpack,city,Colossus,Core,Course,Crypt2,DoorsMod,EgyptPan,Engine,Extro,GenEarth,genfluid,GenFX,GenIn,GreatFire,Indus4,Indus5,Indus6,ISVFX,Liquids,Metalmys,Mine,Pan1,Phantom,PlayrShp,RainFX,ShaneChurch,ShaneDay,Starship,UnrealI,UnrealShare,UT,UTMenu,UTtech1,XFX
AS-Guardia.unr|AmbModern,AmbOutside,Botpack,city,Core,Course,DecayedS,DoorsMod,Engine,GenFX,hubeffects,Indus6,Mine,PlayrShp,Skaarj,Starship,UnrealShare,UTtech1,uttech2
AS-Guardia][.unr|AmbModern,AmbOutside,Botpack,Core,Course,DecayedS,DoorsMod,Engine,genfluid,GenFX,Guardia2,Indus6,Mine,PlayrShp,Skaarj,Starship,UnrealShare,UTtech1,uttech2
AS-HiSpeed.unr|Activates,AmbModern,AmbOutside,Botpack,Core,DecayedS,DoorsMod,Engine,genfluid,GenFX,GenIn,HubEffects,Indus3,Indus5,Mech8,Mine,Pan1,PlayrShp,RainFX,ShaneChurch,UnrealShare,UTtech1
AS-Mazon.unr|Botpack,Core,Crypt2,DecayedS,DoorsAnc,DoorsMod,Engine,GenEarth,genfluid,GenFX,GenIn,Liquids,Mine,NaliCast,NaliFX,RainFX,ShaneDay,ShaneSky,Skyward,Starship,TCrystal,UnrealI,UnrealShare
AS-OceanFloor.unr|AmbModern,Botpack,Core,DoorsMod,Engine,GenEarth,GenFX,GenIn,HubEffects,Indus1,Indus3,Indus5,Indus7,Nether,Pan1,PlayrShp,ShaneDay,UnrealShare,UTtech1
AS-Overlord.unr|Activates,AmbAncient,AmbModern,AmbOutside,Botpack,Core,DDay,DDayFX,Egypt,Engine,GenEarth,genfluid,GenFX,GenIn,HubEffects,Indus1,Mine,Mission,RainFX,ShaneDay,ShaneSky,Skybox,TrenchesFX,UnrealI,UnrealShare,UT,UTcrypt
AS-Overlord][.unr|Activates,AmbAncient,AmbModern,AmbOutside,Botpack,Core,DDay,DDayFX,Detail,Egypt,Engine,GenEarth,genfluid,GenFX,GenIn,hubeffects,Indus1,Mine,Mission,Over2,RainFX,ShaneDay,ShaneSky,Skybox,TrenchesFX,UnrealShare,UT,UTcrypt
AS-Rook.unr|AmbAncient,AmbOutside,Botpack,Colossus,Core,Crypt2,DoorsAnc,Engine,GenEarth,genfluid,GenFX,GenIn,Liquids,NaliCast,NaliFX,Old_FX,ShaneDay,ShaneSky,Skybox,UBrowser,UnrealI,UnrealShare,UTcrypt,UTtech1
AS-Ruins.unr|AmbAncient,AmbOutside,Ancient,Botpack,Core,DecayedS,DoorsAnc,Editor,Engine,GenEarth,GenFluid,GenFX,GenIn,GenTerra,NaliCast,NaliFX,ShaneDay,ShaneSky,Skybox,UnrealI,UnrealShare,UTemple
AS-Warehouse.unr|AmbCity,AmbOutside,Botpack,city,Citytex,Core,Coret_FX,DDay,DDayFX,DecayedS,DoorsMod,Engine,FractalFX,GenEarth,genfluid,GenIn,Indus1,Indus5,Indus6,Indus7,Mine,Pan1,RainFX,Seeker2,Skybox,Slums,SpaceFX,Starship,UnrealShare,UT,UTtech1,UTtech3,XbpFX,XFX
BR-ACIDPIPE.unr|aBrBase,AmbModern,AmbOutside,Botpack,Core,CTF,DoorsMod,Engine,FractalFX,genfluid,GenFX,GreatFire2,Organic,Skaarj,Starship,UnrealShare,UTtech1
